Joel_Joel_29_1_1_Dies ist das Wort des HERRN, das geschehen ist zu Joel, dem Sohn Pethuels.
Joel_Joel_29_1_2_Höret dies, ihr Ältesten, und merket auf alle Einwohner im Lande, ob solches geschehen sei zu euren Zeiten oder zu eurer Väter Zeiten!
Joel_Joel_29_1_3_Saget euren Kindern davon und lasset's eure Kinder ihren Kindern sagen und diese Kinder ihren Nachkommen!
Joel_Joel_29_1_4_Was die Raupen lassen, das fressen die Heuschrecken; und was die Heuschrecken lassen, das fressen die Käfer; und was die Käfer lassen, das frißt das Geschmeiß.
Joel_Joel_29_1_5_Wachet auf, ihr Trunkenen, und weinet, und heulet, alle Weinsäufer, um den Most; denn er ist euch vor eurem Maul weggenommen.
Joel_Joel_29_1_6_Denn es zieht herauf in mein Land ein mächtiges Volk und ohne Zahl; das hat Zähne wie Löwen und Backenzähne wie Löwinnen.
Joel_Joel_29_1_7_Das verwüstet meinen Weinberg und streift meinen Feigenbaum ab, schält ihn und verwirft ihn, daß seine Zweige weiß dastehen.
Joel_Joel_29_1_8_Heule wie eine Jungfrau die einen Sack anlegt um ihren Bräutigam!
Joel_Joel_29_1_9_Denn das Speisopfer und Trankopfer ist vom Hause des HERRN weg, und die Priester, des HERRN Diener, trauern.
Joel_Joel_29_1_10_Das Feld ist verwüstet, und der Acker steht jämmerlich; das Getreide ist verdorben, der Wein steht jämmerlich und das Öl kläglich.
Joel_Joel_29_1_11_Die Ackerleute sehen jämmerlich, und die Weingärtner heulen um den Weizen und die Gerste, daß aus der Ernte auf dem Felde nichts werden kann.
Joel_Joel_29_1_12_So steht der Weinstock auch jämmerlich und der Feigenbaum kläglich; dazu die Granatbäume, Palmbäume, Apfelbäume und alle Bäume auf dem Felde sind verdorrt; denn die Freude der Menschen ist zu Jammer geworden.
Joel_Joel_29_1_13_Begürtet euch nun und klaget, ihr Priester; heulet, ihr Diener des Altars; gehet hinein und lieget in Säcken, ihr Diener meines Gottes! denn es ist Speisopfer und Trankopfer vom Hause eures Gottes weg.
Joel_Joel_29_1_14_Heiliget ein Fasten, rufet die Gemeinde zusammen; versammelt die Ältesten und alle Einwohner des Landes zum Hause des HERRN, eures Gottes, und schreit zum HERRN!
Joel_Joel_29_1_15_O weh des Tages! denn der Tag des HERRN ist nahe und kommt wie ein Verderben vom Allmächtigen.
Joel_Joel_29_1_16_Ist nicht die Speise vor unsern Augen weggenommen und vom Hause unsers Gottes Freude und Wonne?
Joel_Joel_29_1_17_Der Same ist unter der Erde verfault, die Kornhäuser stehen wüst, die Scheunen zerfallen; denn das Getreide ist verdorben.
Joel_Joel_29_1_18_O wie seufzt das Vieh! Die Rinder sehen kläglich, denn sie haben keine Weide, und die Schafe verschmachten.
Joel_Joel_29_1_19_HERR, dich rufe ich an; denn das Feuer hat die Auen in der Wüste verbrannt, und die Flamme hat alle Bäume auf dem Acker angezündet.
Joel_Joel_29_1_20_Es schrieen auch die wilden Tiere zu dir; denn die Wasserbäche sind ausgetrocknet, und das Feuer hat die Auen in der Wüste verbrannt.
Joel_Joel_29_2_1_Blaset mit der Posaune zu Zion, rufet auf meinem heiligen Berge; erzittert, alle Einwohner im Lande! denn der Tag des HERRN kommt und ist nahe:
Joel_Joel_29_2_2_Ein finstrer Tag, ein dunkler Tag, ein wolkiger Tag, ein nebliger Tag; gleichwie sich die Morgenröte ausbreitet über die Berge, kommt ein großes und mächtiges Volk, desgleichen vormals nicht gewesen ist und hinfort nicht sein wird zu ewigen Zeiten für und für.
