Epheser_Eph_49_1_1_Paulus, ein Apostel Jesu Christi durch den Willen Gottes, den Heiligen zu Ephesus und Gläubigen an Christum Jesum:
Epheser_Eph_49_1_2_Gnade sei mit euch und Friede von Gott, unserm Vater, und dem HERRN Jesus Christus!
Epheser_Eph_49_1_3_Gelobet sei Gott und der Vater unsers HERRN Jesu Christi, der uns gesegnet hat mit allerlei geistlichem Segen in himmlischen Gütern durch Christum;
Epheser_Eph_49_1_4_wie er uns denn erwählt hat durch denselben, ehe der Welt Grund gelegt war, daß wir sollten sein heilig und unsträflich vor ihm in der Liebe;
Epheser_Eph_49_1_5_und hat uns verordnet zur Kindschaft gegen sich selbst durch Jesum Christum nach dem Wohlgefallen seines Willens,
Epheser_Eph_49_1_6_zu Lob seiner herrlichen Gnade, durch welche er uns hat angenehm gemacht in dem Geliebten,
Epheser_Eph_49_1_7_an welchem wir haben die Erlösung durch sein Blut, die Vergebung der Sünden, nach dem Reichtum seiner Gnade,
Epheser_Eph_49_1_8_welche uns reichlich widerfahren ist durch allerlei Weisheit und Klugheit;
Epheser_Eph_49_1_9_und er hat uns wissen lassen das Geheimnis seines Willens nach seinem Wohlgefallen, so er sich vorgesetzt hatte in ihm,
Epheser_Eph_49_1_10_daß es ausgeführt würde, da die Zeit erfüllet war, auf daß alle Dinge zusammengefaßt würden in Christo, beide, das im Himmel und auf Erden ist, durch ihn,
Epheser_Eph_49_1_11_durch welchen wir auch zum Erbteil gekommen sind, die wir zuvor verordnet sind nach dem Vorsatz des, der alle Dinge wirkt nach dem Rat seines Willens,
Epheser_Eph_49_1_12_auf daß wir etwas seien zu Lob seiner Herrlichkeit, die wir zuvor auf Christum hofften;
Epheser_Eph_49_1_13_durch welchen auch ihr gehört habt das Wort der Wahrheit, das Evangelium von eurer Seligkeit; durch welchen ihr auch, da ihr gläubig wurdet, versiegelt worden seid mit dem Heiligen Geist der Verheißung,
Epheser_Eph_49_1_14_welcher ist das Pfand unsers Erbes zu unsrer Erlösung, daß wir sein Eigentum würden zu Lob seiner Herrlichkeit.
