1 Johannes_1Joh_62_1_1_Das da von Anfang war, das wir gehört haben, das wir gesehen haben mit unsern Augen, das wir beschaut haben und unsre Hände betastet haben, vom Wort des Lebens
1 Johannes_1Joh_62_1_2_und das Leben ist erschienen, und wir haben gesehen und bezeugen und verkündigen euch das Leben, das ewig ist, welches war bei dem Vater und ist uns erschienen:
1 Johannes_1Joh_62_1_3_was wir gesehen und gehört haben, das verkündigen wir euch, auf daß ihr mit uns Gemeinschaft habt; und unsre Gemeinschaft ist mit dem Vater und mit seinem Sohn Jesus Christus.
1 Johannes_1Joh_62_1_4_Und solches schreiben wir euch, auf daß eure Freude völlig sei.
1 Johannes_1Joh_62_1_5_Und das ist die Verkündigung, die wir von ihm gehört haben und euch verkündigen, daß Gott Licht ist und in ihm ist keine Finsternis.
1 Johannes_1Joh_62_1_6_So wir sagen, daß wir Gemeinschaft mit ihm haben, und wandeln in der Finsternis, so lügen wir und tun nicht die Wahrheit.
1 Johannes_1Joh_62_1_7_So wir aber im Licht wandeln, wie er im Licht ist, so haben wir Gemeinschaft untereinander, und das Blut Jesu Christi, seines Sohnes, macht uns rein von aller Sünde.
1 Johannes_1Joh_62_1_8_So wir sagen, wir haben keine Sünde, so verführen wir uns selbst, und die Wahrheit ist nicht in uns.
1 Johannes_1Joh_62_1_9_So wir aber unsre Sünden bekennen, so ist er treu und gerecht, daß er uns die Sünden vergibt und reinigt uns von aller Untugend.
1 Johannes_1Joh_62_1_10_So wir sagen, wir haben nicht gesündigt, so machen wir ihn zum Lügner, und sein Wort ist nicht in uns.
1 Johannes_1Joh_62_2_1_Meine Kindlein, solches schreibe ich euch, auf daß ihr nicht sündiget. Und ob jemand sündigt, so haben wir einen Fürsprecher bei dem Vater, Jesum Christum, der gerecht ist.
1 Johannes_1Joh_62_2_2_Und derselbe ist die Versöhnung für unsre Sünden, nicht allein aber für die unseren sondern auch für die der ganzen Welt.
1 Johannes_1Joh_62_2_3_Und an dem merken wir, daß wir ihn kennen, so wir seine Gebote halten.
1 Johannes_1Joh_62_2_4_Wer da sagt: Ich kenne ihn, und hält seine Gebote nicht, der ist ein Lügner, und in solchem ist keine Wahrheit.
