Lukas_Lk_42_1_1_Sintemal sich's viele unterwunden haben, Bericht zu geben von den Geschichten, so unter uns ergangen sind,
Lukas_Lk_42_1_2_wie uns das gegeben haben, die es von Anfang selbst gesehen und Diener des Worts gewesen sind:
Lukas_Lk_42_1_3_habe ich's auch für gut angesehen, nachdem ich's alles von Anbeginn mit Fleiß erkundet habe, daß ich's dir, mein guter Theophilus, in Ordnung schriebe,
Lukas_Lk_42_1_4_auf das du gewissen Grund erfahrest der Lehre, in welcher du unterrichtet bist.
Lukas_Lk_42_1_5_Zu der Zeit des Herodes, des Königs von Judäa, war ein Priester von der Ordnung Abia, mit Namen Zacharias, und sein Weib war von den Töchtern Aarons, welche hieß Elisabeth.
Lukas_Lk_42_1_6_Sie waren aber alle beide fromm vor Gott und wandelten in allen Geboten und Satzungen des HERRN untadelig.
Lukas_Lk_42_1_7_Und sie hatten kein Kind; denn Elisabeth war unfruchtbar, und waren beide wohl betagt.
Lukas_Lk_42_1_8_Und es begab sich, da er des Priesteramtes pflegte vor Gott zur Zeit seiner Ordnung,
Lukas_Lk_42_1_9_nach Gewohnheit des Priestertums, und an ihm war, daß er räuchern sollte, ging er in den Tempel des HERRN.
Lukas_Lk_42_1_10_Und die ganze Menge des Volks war draußen und betete unter der Stunde des Räucherns.
Lukas_Lk_42_1_11_Es erschien ihm aber der Engel des HERRN und stand zur rechten Hand am Räucheraltar.
Lukas_Lk_42_1_12_Und als Zacharias ihn sah, erschrak er, und es kam ihn eine Furcht an.
Lukas_Lk_42_1_13_Aber der Engel sprach zu ihm: Fürchte dich nicht, Zacharias! denn dein Gebet ist erhört, und dein Weib Elisabeth wird dir einen Sohn gebären, des Namen sollst du Johannes heißen.
Lukas_Lk_42_1_14_Und du wirst des Freude und Wonne haben, und viele werden sich seiner Geburt freuen.
Lukas_Lk_42_1_15_Denn er wird groß sein vor dem HERRN; Wein und starkes Getränk wird er nicht trinken und wird noch im Mutterleibe erfüllt werden mit dem heiligen Geist.
Lukas_Lk_42_1_16_Und er wird der Kinder Israel viele zu Gott, ihrem HERRN, bekehren.
