Zefanja_Zef_36_1_1_Dies ist das Wort des HERRN, welches geschah zu Zephanja, dem Sohn Chusis, des Sohnes Gedaljas, des Sohnes Amarjas, des Sohnes Hiskias, zur Zeit Josias, des Sohnes Amons, des Königs in Juda.
Zefanja_Zef_36_1_2_Ich will alles aus dem Lande wegnehmen, spricht der HERR.
Zefanja_Zef_36_1_3_Ich will Menschen und Vieh, Vögel des Himmels und Fische im Meer wegnehmen samt den Ärgernissen und den Gottlosen; ja, ich will die Menschen ausreuten aus dem Lande, spricht der HERR.
Zefanja_Zef_36_1_4_Ich will meine Hand ausstrecken über Juda und über alle, die zu Jerusalem wohnen; also will ich das übrige von Baal ausreuten, dazu den Namen der Götzenpfaffen und Priester aus diesem Ort;
Zefanja_Zef_36_1_5_und die, so auf den Dächern des Himmels Heer anbeten; die es anbeten und schwören doch bei dem HERRN und zugleich bei Milkom;
Zefanja_Zef_36_1_6_und die vom HERRN abfallen, und die nach dem HERRN nichts fragen und ihn nicht achten.
Zefanja_Zef_36_1_7_Seid still vor dem HERRN, denn des HERRN Tag ist nahe; denn der HERR hat ein Schlachtopfer zubereitet und seine Gäste dazu geladen.
Zefanja_Zef_36_1_8_Und am Tage des Schlachtopfers des HERRN will ich heimsuchen die Fürsten und des Königs Kinder und alle, die ein fremdes Kleid tragen.
Zefanja_Zef_36_1_9_Auch will ich zur selben Zeit die heimsuchen, so über die Schwelle springen, die ihres HERRN Haus füllen mit Rauben und Trügen.
Zefanja_Zef_36_1_10_Zur selben Zeit, spricht der HERR, wird sich ein lautes Geschrei erheben von dem Fischtor her und ein Geheul von dem andern Teil der Stadt und ein großer Jammer von den Hügeln.
Zefanja_Zef_36_1_11_Heulet, die ihr in der Mühle wohnt; denn das ganze Krämervolk ist dahin, und alle, die Geld sammeln, sind ausgerottet.
Zefanja_Zef_36_1_12_Zur selben Zeit will ich Jerusalem mit Leuchten durchsuchen und will heimsuchen die Leute, die auf ihren Hefen liegen und sprechen in ihrem Herzen: Der HERR wird weder Gutes noch Böses tun.
Zefanja_Zef_36_1_13_Und ihre Güter sollen zum Raub werden und ihre Häuser zur Wüste. Sie werden Häuser bauen, und nicht darin wohnen; sie werden Weinberge pflanzen, und keinen Wein davon trinken.
Zefanja_Zef_36_1_14_Des HERRN großer Tag ist nahe; er ist nahe und eilt sehr. Wenn das Geschrei vom Tage des HERRN kommen wird, so werden die Starken alsdann bitterlich schreien.
Zefanja_Zef_36_1_15_Denn dieser Tag ist ein Tag des Grimmes, ein Tag der Trübsal und Angst, ein Tag des Wetters und Ungestüms, ein Tag der Finsternis und Dunkels, ein Tag der Wolken und Nebel,
Zefanja_Zef_36_1_16_ein Tag der Posaune und Drommete wider die festen Städte und hohen Schlösser.
Zefanja_Zef_36_1_17_Ich will den Leuten bange machen, daß sie umhergehen sollen wie die Blinden, darum daß sie wider den HERRN gesündigt haben. Ihr Blut soll ausgeschüttet werden, als wäre es Staub, und ihr Leib als wäre es Kot.
Zefanja_Zef_36_1_18_Es wird sie ihr Silber und Gold nicht erretten können am Tage des Zorns des HERRN, sondern das ganze Land soll durch das Feuer seines Eifers verzehrt werden; denn er wird plötzlich ein Ende machen mit allen, die im Lande wohnen.
Zefanja_Zef_36_2_1_Sammelt euch und kommt her, ihr feindseliges Volk,
Zefanja_Zef_36_2_2_ehe denn das Urteil ausgehe, daß ihr wie die Spreu bei Tage dahin fahrt; ehe denn des HERRN grimmiger Zorn über euch komme; ehe der Tag des Zornes des HERRN über euch komme.
Zefanja_Zef_36_2_3_Suchet den HERR, alle ihr Elenden im Lande, die ihr seine Rechte haltet; suchet Gerechtigkeit, suchet Demut, auf daß ihr am Tage des Zornes des HERRN möget verborgen werden.
Zefanja_Zef_36_2_4_Denn Gaza muß verlassen und Askalon wüst werden; Asdod soll am Mittag vertrieben und Ekron ausgewurzelt werden.
Zefanja_Zef_36_2_5_Weh denen, so am Meer hinab wohnen, dem Volk der Krether! Des HERRN Wort wird über euch kommen, du Kanaan, der Philister Land; ich will dich umbringen, daß niemand mehr da wohnen soll.
Zefanja_Zef_36_2_6_Es sollen am Meer hinab eitel Hirtenhäuser und Schafhürden sein.
Zefanja_Zef_36_2_7_Und dasselbe soll den übrigen vom Hause Juda zuteil werden, daß sie darauf weiden sollen. Des Abends sollen sie sich in den Häusern Askalons lagern, wenn sie nun der HERR, ihr Gott, wiederum heimgesucht und ihr Gefängnis gewendet hat.
Zefanja_Zef_36_2_8_Ich habe das Schmähen Moabs und das Lästern der Kinder Ammon gehört, womit sie mein Volk geschmäht und auf seinen Grenzen sich gerühmt haben.
Zefanja_Zef_36_2_9_Wohlan, so wahr ich lebe! spricht der HERR Zebaoth, der Gott Israels, Moab soll wie Sodom und die Kinder Ammon wie Gomorra werden, ja wie ein Nesselstrauch und eine Salzgrube und eine ewige Wüste. Die übrigen meines Volkes sollen sie berauben, und die Übriggebliebenen meines Volkes sollen sie erben.
Zefanja_Zef_36_2_10_Das soll ihnen aber begegnen für ihre Hoffart, daß sie des HERRN Zebaoth Volk geschmäht und sich gerühmt haben.
Zefanja_Zef_36_2_11_Schrecklich wird der HERR über sie sein, denn er wird alle Götter auf Erden vertilgen; und sollen ihn anbeten alle Inseln der Heiden, ein jeglicher an seinem Ort.
Zefanja_Zef_36_2_12_Auch sollt ihr Mohren durch mein Schwert erschlagen werden.
Zefanja_Zef_36_2_13_Und er wird seine Hand strecken gen Mitternacht und Assur umbringen. Ninive wird er öde machen, dürr wie eine Wüste,
Zefanja_Zef_36_2_14_daß darin sich lagern werden allerlei Tiere bei Haufen; auch Rohrdommeln und Igel werden wohnen in ihren Säulenknäufen, und Vögel werden in den Fenstern singen, und auf der Schwelle wird Verwüstung sein; denn die Zedernbretter sollen abgerissen werden.
Zefanja_Zef_36_2_15_Das ist die fröhliche Stadt, die so sicher wohnte und sprach in ihrem Herzen: Ich bin's, und keine mehr. Wie ist sie so wüst geworden, daß die Tiere darin wohnen! Und wer vorübergeht, pfeift sie an und klatscht mit der Hand über sie.
Zefanja_Zef_36_3_1_Weh der greulichen, unflätigen, tyrannischen Stadt!
Zefanja_Zef_36_3_2_Sie will nicht gehorchen noch sich züchtigen lassen; sie will auf den HERRN nicht trauen noch sich zu ihrem Gott halten.
Zefanja_Zef_36_3_3_Ihre Fürsten sind unter ihnen brüllende Löwen und ihre Richter Wölfe am Abend, die nichts bis auf den Morgen übriglassen.
Zefanja_Zef_36_3_4_Ihre Propheten sind leichtfertig und Verächter; ihre Priester entweihen das Heiligtum und deuten das Gesetz freventlich.
Zefanja_Zef_36_3_5_Der HERR, der unter ihnen ist, ist gerecht und tut kein Arges. Er läßt alle Morgen seine Rechte öffentlich lehren und läßt nicht ab; aber die bösen Leute wollen sich nicht schämen lernen.
Zefanja_Zef_36_3_6_Ich habe Völker ausgerottet, ihre Schlösser verwüstet und ihre Gassen so leer gemacht, daß niemand darauf geht; ihre Städte sind zerstört, daß niemand mehr da wohnt.
Zefanja_Zef_36_3_7_Ich ließ dir sagen: Mich sollst du fürchten und dich lassen züchtigen! so würde ihre Wohnung nicht ausgerottet und der keines kommen, womit ich sie heimsuchen werde. Aber sie sind fleißig, allerlei Bosheit zu üben.
Zefanja_Zef_36_3_8_Darum, spricht der HERR, müsset ihr mein auch harren, bis ich mich aufmache zu seiner Zeit, da ich auch rechten werde und die Heiden versammeln und die Königreiche zuhauf bringen, meinen Zorn über sie zu schütten, ja, allen Zorn meines Grimmes; denn alle Welt soll durch meines Eifers Feuer verzehrt werden.
Zefanja_Zef_36_3_9_Alsdann will ich den Völkern reine Lippen geben, daß sie alle sollen des HERRN Namen anrufen und ihm einträchtig dienen.
Zefanja_Zef_36_3_10_Man wird mir meine Anbeter, mein zerstreutes Volk, von jenseit des Wassers im Mohrenlande herbeibringen zum Geschenk.
Zefanja_Zef_36_3_11_Zur selben Zeit wirst du dich nicht mehr schämen alles deines Tuns, womit du wider mich übertreten hast; denn ich will die stolzen Heiligen von dir tun, daß du nicht mehr sollst dich überheben auf meinem heiligen Berge.
Zefanja_Zef_36_3_12_Ich will in dir lassen übrigbleiben ein armes, geringes Volk; die werden auf des HERRN Namen trauen.
Zefanja_Zef_36_3_13_Die übrigen in Israel werden kein Böses tun noch Falsches reden, und man wird in ihrem Munde keine betrügliche Zunge finden; sondern sie sollen weiden und ruhen ohne alle Furcht.
Zefanja_Zef_36_3_14_Jauchze, du Tochter Zion! Rufe, Israel! Freue dich und sei fröhlich von ganzem Herzen, du Tochter Jerusalem!
Zefanja_Zef_36_3_15_denn der HERR hat deine Strafe weggenommen und deine Feinde abgewendet. Der HERR, der König Israels, ist bei dir, daß du dich vor keinem Unglück mehr fürchten darfst.
Zefanja_Zef_36_3_16_Zur selben Zeit wird man sprechen zu Jerusalem: Fürchte dich nicht! und zu Zion: Laß deine Hände nicht laß werden!
Zefanja_Zef_36_3_17_denn der HERR, dein Gott, ist bei dir, ein starker Heiland; er wird sich über dich freuen und dir freundlich sein und vergeben und wird über dir mit Schall fröhlich sein.
Zefanja_Zef_36_3_18_Die Geängsteten, so auf kein Fest kommen, will ich zusammenbringen; denn sie gehören dir zu und müssen Schmach tragen.
Zefanja_Zef_36_3_19_Siehe, ich will's mit allen denen aus machen zur selben Zeit, die dich bedrängen, und will den Hinkenden helfen und die Verstoßenen sammeln und will sie zu Lob und Ehren machen in allen Landen, darin man sie verachtet.
Zefanja_Zef_36_3_20_Zu der Zeit will ich euch hereinbringen und euch zu der Zeit versammeln. Denn ich will euch zu Lob und Ehren machen unter allen Völkern auf Erden, wenn ich euer Gefängnis wenden werde vor euren Augen, spricht der HERR.
