Hoheslied_Hld_22_8_1_Das Hohelied Salomos.
Hoheslied_Hld_22_8_2_Er küsse mich mit dem Kusse seines Mundes; denn deine Liebe ist lieblicher als Wein.
Hoheslied_Hld_22_8_3_Es riechen deine Salben köstlich; dein Name ist eine ausgeschüttete Salbe, darum lieben dich die Jungfrauen.
Hoheslied_Hld_22_8_4_Zieh mich dir nach, so laufen wir. Der König führte mich in seine Kammern. Wir freuen uns und sind fröhlich über dir; wir gedenken an deine Liebe mehr denn an den Wein. Die Frommen lieben dich.
Hoheslied_Hld_22_8_5_Ich bin schwarz, aber gar lieblich, ihr Töchter Jerusalems, wie die Hütten Kedars, wie die Teppiche Salomos.
Hoheslied_Hld_22_8_6_Seht mich nicht an, daß ich so schwarz bin; denn die Sonne hat mich so verbrannt. Meiner Mutter Kinder zürnen mit mir. Sie haben mich zur Hüterin der Weinberge gesetzt; aber meinen eigenen Weinberg habe ich nicht behütet.
Hoheslied_Hld_22_8_7_Sage mir an, du, den meine Seele liebt, wo du weidest, wo du ruhest im Mittage, daß ich nicht hin und her gehen müsse bei den Herden deiner Gesellen.
Hoheslied_Hld_22_8_8_Weiß du es nicht, du schönste unter den Weibern, so gehe hinaus auf die Fußtapfen der Schafe und weide deine Zicklein bei den Hirtenhäusern.
Hoheslied_Hld_22_8_9_Ich vergleiche dich, meine Freundin, meinem Gespann an den Wagen Pharaos.
Hoheslied_Hld_22_8_10_Deine Backen stehen lieblich in den Kettchen und dein Hals in den Schnüren.
Hoheslied_Hld_22_8_11_Wir wollen dir goldene Kettchen machen mit silbernen Pünktlein.
Hoheslied_Hld_22_8_12_Da der König sich herwandte, gab meine Narde ihren Geruch.
Hoheslied_Hld_22_8_13_Mein Freund ist mir ein Büschel Myrrhen, das zwischen meinen Brüsten hanget.
Hoheslied_Hld_22_8_14_Mein Freund ist mir eine Traube von Zyperblumen in den Weinbergen zu Engedi.
Hoheslied_Hld_22_8_15_Siehe, meine Freundin, du bist schön; schön bist du, deine Augen sind wie Taubenaugen.
Hoheslied_Hld_22_8_16_Siehe, mein Freund, du bist schön und lieblich. Unser Bett grünt,
Hoheslied_Hld_22_8_17_unserer Häuser Balken sind Zedern, unser Getäfel Zypressen.
Hoheslied_Hld_22_2_1_Ich bin eine Blume zu Saron und eine Rose im Tal.
Hoheslied_Hld_22_2_2_Wie eine Rose unter den Dornen, so ist meine Freundin unter den Töchtern.
Hoheslied_Hld_22_2_3_Wie ein Apfelbaum unter den wilden Bäumen, so ist mein Freund unter den Söhnen. Ich sitze unter dem Schatten, des ich begehre, und seine Frucht ist meiner Kehle süß.
Hoheslied_Hld_22_2_4_Er führt mich in den Weinkeller, und die Liebe ist sein Panier über mir.
Hoheslied_Hld_22_2_5_Er erquickt mich mit Blumen und labt mich mit Äpfeln; denn ich bin krank vor Liebe.
Hoheslied_Hld_22_2_6_Seine Linke liegt unter meinem Haupte, und seine Rechte herzt mich.
Hoheslied_Hld_22_2_7_Ich beschwöre euch, ihr Töchter Jerusalems, bei den Rehen oder bei den Hinden auf dem Felde, daß ihr meine Freundin nicht aufweckt noch regt, bis es ihr selbst gefällt.
Hoheslied_Hld_22_2_8_Da ist die Stimme meines Freundes! Siehe, er kommt und hüpft auf den Bergen und springt auf den Hügeln.
Hoheslied_Hld_22_2_9_Mein Freund ist gleich einem Reh oder jungen Hirsch. Siehe, er steht hinter unsrer Wand, sieht durchs Fenster und schaut durchs Gitter.
