Maleachi_Mal_39_1_1_Dies ist die Last, die der HERR redet wider Israel durch Maleachi.
Maleachi_Mal_39_1_2_Ich habe euch lieb, spricht der HERR. So sprecht ihr: \"Womit hast du uns lieb?\" Ist nicht Esau Jakobs Bruder? spricht der HERR; und doch habe ich Jakob lieb
Maleachi_Mal_39_1_3_und hasse Esau und habe sein Gebirge öde gemacht und sein Erbe den Schakalen zur Wüste.
Maleachi_Mal_39_1_4_Und ob Edom sprechen würde: Wir sind verderbt, aber wir wollen das Wüste wieder erbauen! so spricht der HERR Zebaoth also: Werden sie bauen, so will ich abbrechen, und es soll heißen die verdammte Grenze und ein Volk, über das der HERR zürnt ewiglich.
Maleachi_Mal_39_1_5_Das sollen eure Augen sehen, und ihr werdet sagen: Der HERR ist herrlich in den Grenzen Israels.
Maleachi_Mal_39_1_6_Ein Sohn soll seinen Vater ehren und ein Knecht seinen Herrn. Bin ich nun Vater, wo ist meine Ehre? bin ich HERR, wo fürchtet man mich? spricht der HERR Zebaoth zu euch Priestern, die meinen Namen verachten. So sprecht ihr: \"Womit verachten wir deinen Namen?\"
Maleachi_Mal_39_1_7_Damit daß ihr opfert auf meinem Altar unreines Brot. So sprecht ihr: \"Womit opfern wir dir Unreines?\" damit daß ihr sagt: \"Des HERRN Tisch ist verachtet.\"
Maleachi_Mal_39_1_8_Und wenn ihr ein blindes opfert, so muß es nicht böse heißen; und wenn ihr ein Lahmes oder Krankes opfert, so muß es auch nicht böse heißen. Bringe es deinem Fürsten! was gilt's, ob du ihm gefallen werdest, oder ob er deine Person ansehen werde? spricht der HERR Zebaoth.
Maleachi_Mal_39_1_9_So bittet nun Gott, daß er uns gnädig sei! denn solches ist geschehen von euch. Meint ihr, er werde eure Person ansehen? spricht der HERR Zebaoth.
Maleachi_Mal_39_1_10_Daß doch einer unter euch die Türen zuschlösse, damit ihr nicht umsonst auf meinem Altar Feuer anzündet! Ich habe kein Gefallen an euch, spricht der HERR Zebaoth, und das Speisopfer von euren Händen ist mir nicht angenehm.
Maleachi_Mal_39_1_11_Aber von Aufgang der Sonne bis zum Niedergang soll mein Name herrlich werden unter den Heiden, und an allen Orten soll meinem Namen geräuchert werden und ein reines Speisopfer geopfert werden; denn mein Name soll herrlich werden unter den Heiden, spricht der HERR Zebaoth.
Maleachi_Mal_39_1_12_Ihr aber entheiligt ihn damit, daß ihr sagt: \"Des HERR Tisch ist unheilig, und sein Opfer ist verachtet samt seiner Speise.\"
Maleachi_Mal_39_1_13_Und ihr sprecht: \"Siehe, es ist nur Mühe!\" und schlagt es in den Wind, spricht der HERR Zebaoth. Und ihr bringt her, was geraubt, lahm und krank ist, und opfert dann Speisopfer. Sollte mir solches gefallen von eurer Hand? spricht der HERR.
Maleachi_Mal_39_1_14_Verflucht sei der Betrüger, der in seiner Herde ein Männlein hat, und wenn er ein Gelübde tut, opfert er dem HERR ein untüchtiges. Denn ich bin ein großer König, spricht der HERR Zebaoth, und mein Name ist schrecklich unter den Heiden.
Maleachi_Mal_39_2_1_Und nun, ihr Priester, dies Gebot gilt euch.
Maleachi_Mal_39_2_2_Wo ihr's nicht hört noch zu Herzen nehmen werdet, daß ihr meinem Namen die Ehre gebt, spricht der HERR Zebaoth, so werde ich den Fluch unter euch schicken und euren Segen verfluchen, ja verfluchen werde ich ihn, weil ihr's nicht wolltet zu Herzen nehmen.
Maleachi_Mal_39_2_3_Siehe, ich will schelten euch samt der Saat und den Kot eurer Festopfer euch ins Angesicht werfen, und er soll an euch kleben bleiben.
Maleachi_Mal_39_2_4_So werdet ihr dann erfahren, daß ich solches Gebot zu euch gesandt habe, daß es mein Bund sein sollte mit Levi, spricht der HERR Zebaoth.
Maleachi_Mal_39_2_5_Denn mein Bund war mit ihm zum Leben und Frieden, und ich gab ihm die Furcht, daß er mich fürchtete und meinen Namen scheute.
